season,gamenumber,gamedate,hteamcode,vteamcode
2011,20625,1/10/2012,CHI,CBJ
2011,20626,1/10/2012,COL,NSH
2011,20627,1/10/2012,CGY,NJ
2011,20628,1/10/2012,ANA,DAL
2011,20629,1/11/2012,WSH,PIT
2011,20630,1/11/2012,EDM,NJ
2011,20631,1/12/2012,BOS,MTL
2011,20632,1/12/2012,NYI,PHI
2011,20633,1/12/2012,NYR,OTT
2011,20634,1/12/2012,TB,CAR
2011,20635,1/12/2012,DET,PHX
2011,20636,1/12/2012,STL,VAN
2011,20637,1/12/2012,NSH,COL
2011,20638,1/12/2012,WPG,SJ
2011,20639,1/12/2012,CHI,MIN
2011,20640,1/12/2012,CGY,ANA
2011,20641,1/12/2012,LA,DAL
2011,20642,1/13/2012,WSH,TB
2011,20643,1/13/2012,CBJ,PHX
2011,20644,1/13/2012,BUF,TOR
2011,20645,1/13/2012,FLA,PIT
2011,20646,1/13/2012,EDM,ANA
2011,20647,1/14/2012,DET,CHI
2011,20648,1/14/2012,DAL,COL
2011,20649,1/14/2012,TOR,NYR
2011,20650,1/14/2012,MTL,OTT
2011,20651,1/14/2012,NYI,BUF
2011,20652,1/14/2012,CAR,BOS
2011,20653,1/14/2012,WPG,NJ
2011,20654,1/14/2012,CBJ,SJ
2011,20655,1/14/2012,STL,MIN
2011,20656,1/14/2012,NSH,PHI
2011,20657,1/14/2012,CGY,LA
2011,20658,1/15/2012,TB,PIT
2011,20659,1/15/2012,WSH,CAR
2011,20660,1/15/2012,MTL,NYR
2011,20661,1/15/2012,CHI,SJ
2011,20662,1/15/2012,EDM,LA
2011,20663,1/15/2012,VAN,ANA
2011,20664,1/16/2012,NYI,NSH
2011,20665,1/16/2012,PHX,COL
2011,20666,1/16/2012,OTT,WPG
2011,20667,1/16/2012,FLA,BOS
2011,20668,1/16/2012,DET,BUF
2011,20669,1/16/2012,STL,DAL
2011,20670,1/17/2012,TOR,OTT
2011,20671,1/17/2012,NJ,WPG
2011,20672,1/17/2012,NYR,NSH
2011,20673,1/17/2012,PHI,MIN
2011,20674,1/17/2012,PIT,CAR
2011,20675,1/17/2012,WSH,NYI
2011,20676,1/17/2012,CBJ,EDM
2011,20677,1/17/2012,TB,BOS
2011,20678,1/17/2012,DAL,DET
2011,20679,1/17/2012,VAN,LA
2011,20680,1/17/2012,SJ,CGY
2011,20681,1/18/2012,MTL,WSH
2011,20682,1/18/2012,CHI,BUF
2011,20683,1/18/2012,COL,FLA
2011,20684,1/18/2012,ANA,PHX
2011,20685,1/19/2012,TOR,MIN
2011,20686,1/19/2012,NJ,BOS
2011,20687,1/19/2012,NYR,PIT
2011,20688,1/19/2012,PHI,NYI
2011,20689,1/19/2012,CBJ,NSH
2011,20690,1/19/2012,STL,EDM
2011,20691,1/19/2012,WPG,BUF
2011,20692,1/19/2012,PHX,DET
2011,20693,1/19/2012,LA,CGY
2011,20694,1/19/2012,SJ,OTT
2011,20695,1/20/2012,PIT,MTL
2011,20696,1/20/2012,CAR,WSH
2011,20697,1/20/2012,CHI,FLA
2011,20698,1/20/2012,DAL,TB
2011,20699,1/21/2012,BOS,NYR
2011,20700,1/21/2012,NJ,PHI
2011,20701,1/21/2012,VAN,SJ
2011,20702,1/21/2012,TOR,MTL
2011,20703,1/21/2012,NYI,CAR
2011,20704,1/21/2012,DET,CBJ
2011,20705,1/21/2012,ANA,OTT
2011,20706,1/21/2012,WPG,FLA
2011,20707,1/21/2012,STL,BUF
2011,20708,1/21/2012,NSH,CHI
2011,20709,1/21/2012,PHX,TB
2011,20710,1/21/2012,MIN,DAL
2011,20711,1/21/2012,EDM,CGY
2011,20712,1/21/2012,LA,COL
2011,20713,1/22/2012,PHI,BOS
2011,20714,1/22/2012,PIT,WSH
2011,20715,1/22/2012,ANA,COL
2011,20716,1/23/2012,TOR,NYI
2011,20717,1/23/2012,CAR,WPG
2011,20718,1/23/2012,DET,STL
2011,20719,1/23/2012,NSH,CBJ
2011,20720,1/23/2012,EDM,SJ
2011,20721,1/23/2012,LA,OTT
2011,20722,1/24/2012,NJ,BUF
2011,20723,1/24/2012,NYI,TOR
2011,20724,1/24/2012,NYR,WPG
2011,20725,1/24/2012,WSH,BOS
2011,20726,1/24/2012,TB,CBJ
2011,20727,1/24/2012,FLA,PHI
2011,20728,1/24/2012,STL,PIT
2011,20729,1/24/2012,CHI,NSH
2011,20730,1/24/2012,DAL,ANA
2011,20731,1/24/2012,COL,MIN
2011,20732,1/24/2012,CGY,SJ
2011,20733,1/24/2012,PHX,OTT
2011,20734,1/24/2012,VAN,EDM
2011,20735,1/25/2012,MTL,DET
2011,20736,1/31/2012,BOS,OTT
2011,20737,1/31/2012,NJ,NYR
2011,20738,1/31/2012,PHI,WPG
